ST_LEAID,SchoolYear,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,DistrictName,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Geometry,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_District,TeacherAvgYearsExp_District,TeacherAvgYearsExpInDistrict_District,TeacherInDistrict4YearsOrMore_District,Chronic_Abs_Count,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
NJ-011790,2021-2022,41.5,15.6,48.2,Greater Egg Harbor Regional High School District,NA,NA,NA,NA,NA,NA,41.0,0.09,18.0,<10%,20.3,*,45.8,NA,NA,NA,NA,NA,NA,*,0.0060704960835509135,NA,11:1,103:1,270,13.9,13.0,83.7,770,25.5,3.0,19.0,25.0,21.0,31.0,19.3,36.1,0,0,0,0,0,0,0,0,0,0,804,713,678,789,2984
NJ-011940,2021-2022,25.9,<10%,29.9,Hamilton Township School District,20.1,37.4,32.3,18.4,23.5,22.5,NA,0.029594438006952495,19.0,<10%,21.7,63.4,N,27.3,29.2,14.1,11.4,15.2,*,N,0.01506628242074928,0.018254189944134077,11:1,182:1,255,12.8,12.8,80.6,661,26.1,1.0,17.0,28.0,21.0,33.0,18.8,44.5,357,266,265,256,292,260,307,276,318,318,0,0,0,0,2915
NJ-011960,2021-2022,48.7,11.8,55.9,Hammonton School District,52.6,46.2,30.4,53.5,57.8,46.0,49.1,0.14426690604428488,39.3,10.8,44.7,35.1,71.6,46.1,47.0,40.7,38.0,42.6,18.3,N,0.05250749850029994,0.06790513833992094,13:1,167:1,253,13.8,12.9,88.5,811,25.3,2.0,20.0,25.0,21.0,31.0,15.5,31.3,125,156,178,185,153,173,183,183,336,320,363,310,348,321,3334
NJ-012680,2021-2022,70.0,36.4,75.9,Linwood City School District,56.0,64.9,52.2,73.9,82.8,89.8,NA,0.2474418604651163,64.9,44.2,68.6,96.3,N,77.4,64.1,64.1,47.2,65.9,32.4,NA,0.11926782273603083,0.14361948955916473,11:1,115:1,71,16.2,13.6,87.3,116,15.1,2.0,24.0,31.0,21.0,21.0,19.3,9.8,36,72,91,75,86,81,92,91,90,91,0,0,0,0,805
NJ-012910,2021-2022,46.0,<10%,55.1,Mainland Regional High School,NA,NA,NA,NA,NA,NA,45.6,0.08,28.2,<10%,32.2,14.5,47.5,NA,NA,NA,NA,NA,NA,*,0.011098901098901099,NA,11:1,109:1,109,16.6,14.2,87.2,206,17.0,5.0,29.0,26.0,18.0,22.0,18.5,18.9,0,0,0,0,0,0,0,0,0,0,304,290,294,313,1201
NJ-013020,2021-2022,73.9,40.5,80.3,Margate City School District,65.5,64.4,65.6,78.8,88.9,76.0,NA,0.2576068376068376,66.1,24.3,74.1,100.0,N,75.9,73.3,65.6,57.6,71.1,32.4,N,0.18034188034188037,0.19684782608695653,7:1,89:1,52,14.8,13.3,76.9,42,12.2,1.0,25.0,34.0,21.0,18.0,20.2,3.7,9,38,37,38,28,45,31,33,47,50,0,0,0,0,356
NJ-013480,2021-2022,47.4,15.9,55.9,Mullica Township School District,40.9,46.2,37.5,50.0,50.0,56.1,NA,0.13071794871794873,30.0,<10%,36.1,73.1,NA,36.4,32.7,25.0,23.9,36.1,*,NA,0.032185089974293056,0.04078175895765472,10:1,127:1,62,12.5,8.9,66.1,79,13.9,1.0,27.0,33.0,21.0,18.0,18.6,16.1,61,51,56,65,46,54,74,67,74,86,0,0,0,0,634
NJ-013720,2021-2022,53.8,20.1,63.6,Northfield City School District,44.9,68.1,45.5,52.8,64.0,48.5,NA,0.13915824915824915,51.3,19.7,60.4,90.5,*,77.9,55.3,40.0,51.0,46.4,13.3,NA,0.07825127334465196,0.08601642710472279,10:1,193:1,97,7.3,5.9,42.4,89,10.4,2.0,27.0,36.0,22.0,14.0,21.9,21.9,112,67,85,97,84,94,102,106,112,104,0,0,0,0,963
NJ-014180,2021-2022,20.7,<10%,23.7,Pleasantville Public School District,17.4,27.2,26.1,13.8,18.7,16.8,15.5,0.016272026431718063,11.4,<10%,12.8,10.6,*,13.5,14.1,14.3,*,10.9,*,N,0,0,12:1,162:1,323,9.9,8.5,76.8,904,28.2,3.0,24.0,25.0,17.0,31.0,17.0,81.0,418,268,229,263,257,258,287,271,299,280,251,254,176,219,3730
NJ-014240,2021-2022,47.3,<10%,56.7,Port Republic School District,28.6,41.7,36.4,53.8,63.6,57.1,NA,0.06533333333333334,51.4,50.0,51.7,*,NA,78.6,50.0,45.5,30.8,63.6,*,NA,0.03213114754098361,0.03213114754098361,9:1,108:1,12,11.5,9.3,75.0,4,3.7,2.0,36.0,49.0,9.0,5.0,14.8,0.0,0,13,10,9,15,12,11,13,11,14,0,0,0,0,108
NJ-014800,2021-2022,27.5,<10%,32.9,Somers Point School District,16.4,28.9,14.3,15.7,42.9,46.8,NA,0.04669491525423729,17.9,<10%,20.9,81.3,NA,14.7,*,*,*,37.7,19.0,NA,0.0065116279069767444,0.007817258883248732,9:1,127:1,88,13.3,13.0,85.2,178,26.5,2.0,26.0,26.0,15.0,31.0,20.0,47.4,85,67,72,65,67,90,69,87,75,80,0,0,0,0,757
NJ-015350,2021-2022,51.0,18.1,61.0,Ventnor City School District,37.8,44.4,39.2,37.7,64.2,76.3,NA,0.15876190476190477,34.7,<10%,44.5,85.7,NA,37.8,44.4,34.6,24.5,32.1,15.6,NA,0.07,0.07143968871595331,7:1,138:1,76,16.9,14.2,72.4,83,17.6,2.0,28.0,30.0,17.0,23.0,16.3,49.9,81,51,63,46,45,52,52,52,53,58,0,0,0,0,553
NJ-015760,2021-2022,46.0,<10%,53.6,Weymouth Township School District,26.3,42.9,31.3,56.0,50.0,60.0,NA,0.07673076923076924,37.4,<10%,43.4,*,NA,52.6,21.4,20.0,40.0,30.0,36.8,NA,0.01911764705882353,0.02349397590361446,10:1,41:1,16,16.6,11.7,75.0,43,30.9,2.0,17.0,32.0,18.0,31.0,24.5,30.1,22,12,11,14,19,13,15,25,11,21,0,0,0,0,163
NJ-030040,2021-2022,85.5,52.4,89.4,Allendale Public School District,77.3,80.4,83.2,83.5,95.5,91.8,NA,0.4096127946127946,81.9,47.6,85.9,100.0,N,89.3,86.5,85.3,72.4,82.6,51.2,N,0.30978260869565216,0.2949298597194389,12:1,178:1,73,13.2,13.2,79.5,41,4.8,5.0,37.0,34.0,16.0,8.0,11.3,1.6,26,78,82,101,75,104,97,116,111,98,0,0,0,0,888
NJ-030080,2021-2022,90.1,66.7,93.3,Alpine School District,100.0,85.0,91.3,88.2,83.3,93.8,NA,0.40914285714285714,78.2,25.0,85.4,*,*,94.1,70.0,78.3,82.4,*,*,NA,0.3651948051948052,0.3651948051948052,7:1,32:1,22,12.2,8.9,72.7,21,13.2,3.0,30.0,35.0,17.0,15.0,9.4,0.0,0,13,20,17,17,20,23,17,12,20,0,0,0,0,160
NJ-030290,2021-2022,96.1,58.8,97.3,Bergen County Vocational Technical School District,NA,NA,NA,NA,NA,NA,96.1,0.6,89.4,42.1,91.0,83.3,*,NA,NA,NA,NA,NA,NA,95.6,0.18514285714285716,NA,11:1,111:1,243,13.9,11.9,79.4,165,6.3,8.0,40.0,30.0,15.0,7.0,14.6,8.3,0,0,0,0,0,0,0,0,0,0,678,691,602,582,2554
NJ-030300,2021-2022,59.9,18.0,67.5,Bergenfield Borough School District,62.7,65.6,68.6,48.6,55.5,65.7,56.2,0.1774769897130482,36.9,12.5,41.4,33.9,47.1,55.2,52.2,45.0,25.8,22.3,*,55.3,0.054288758657432074,0.07380763116057233,13:1,185:1,288,14.3,13.1,83.0,411,11.8,5.0,35.0,30.0,15.0,14.0,16.4,27.6,184,213,220,263,244,231,248,289,296,281,296,318,297,318,3698
NJ-030440,2021-2022,59.3,15.2,69.6,Bogota Public School District,52.2,55.6,62.2,60.9,55.7,64.6,60.9,0.16463087248322147,35.3,10.8,40.9,26.1,11.8,50.0,42.0,40.2,42.1,30.3,19.7,N,0.06192751235584843,0.0797025171624714,12:1,116:1,105,11.0,10.4,75.2,143,12.1,5.0,32.0,28.0,19.0,17.0,18.4,36.7,102,111,79,92,73,82,94,96,100,83,92,83,76,108,1271
NJ-030740,2021-2022,59.6,23.1,67.1,Carlstadt Public School District,53.7,58.7,61.7,58.5,73.7,52.3,NA,0.13022653721682848,39.9,11.5,45.6,80.0,NA,40.5,40.4,48.9,37.0,31.6,28.8,NA,0.04426751592356688,0.04785425101214575,12:1,89:1,44,13.5,12.5,81.4,58,11.6,3.0,33.0,30.0,19.0,15.0,15.2,22.3,37,60,60,55,42,46,48,53,55,69,0,0,0,0,525
NJ-030745,2021-2022,60.3,21.2,67.4,Carlstadt-East Rutherford Regional High School District,NA,NA,NA,NA,NA,NA,60.4,0.17999999999999997,13.6,<10%,16.4,15.9,12.1,NA,NA,NA,NA,NA,NA,N,0,NA,12:1,81:1,53,11.4,10.3,60.4,71,10.5,6.0,32.0,31.0,17.0,14.0,15.4,22.6,0,0,0,0,0,0,0,0,0,0,219,192,129,112,652
NJ-030890,2021-2022,50.4,20.9,59.2,Cliffside Park School District,46.9,57.3,39.7,65.4,57.5,62.0,31.9,0.14770411723656665,34.3,16.7,39.4,20.3,*,52.0,41.1,31.7,30.1,39.5,26.9,28.6,0.06460635359116022,0.0864901349948079,12:1,170:1,254,12.4,12.4,89.3,409,14.0,6.0,31.0,27.0,18.0,19.0,21.2,39.6,109,193,187,185,184,201,186,190,227,196,317,289,281,286,3031
NJ-030930,2021-2022,82.2,43.2,89.1,Closter Public School District,69.3,89.3,80.2,79.3,86.8,87.8,NA,0.39054361567635903,71.2,24.6,79.3,100.0,*,73.7,81.5,68.9,64.8,70.6,37.3,NA,0.24351689612015018,0.24181268882175225,13:1,170:1,93,14.6,11.6,75.3,60,5.3,9.0,43.0,27.0,13.0,8.0,15.4,0.4,43,98,110,129,116,136,134,143,145,135,0,0,0,0,1189
NJ-030990,2021-2022,74.4,29.8,83.4,Cresskill Public School District,63.2,86.4,81.0,67.5,75.6,75.3,69.5,0.27685205784204675,62.0,28.8,68.7,44.7,81.8,73.9,84.7,76.1,51.6,50.0,28.1,56.3,0.16004352557127313,0.22393548387096776,11:1,132:1,152,12.2,12.0,85.5,129,7.7,8.0,40.0,28.0,14.0,11.0,16.7,1.5,35,113,119,144,122,140,146,125,139,157,124,105,121,132,1722
NJ-031070,2021-2022,79.1,40.3,86.9,Demarest School District,84.9,85.2,72.0,80.8,76.1,81.9,NA,0.3242398286937902,75.3,31.6,83.8,100.0,N,89.5,70.5,69.5,66.7,77.3,65.7,NA,0.2746794871794872,0.23726582278481012,10:1,120:1,72,11.8,9.7,73.6,30,4.5,7.0,43.0,34.0,10.0,6.0,14.5,1.0,48,61,64,74,86,62,82,78,91,73,0,0,0,0,719
NJ-031130,2021-2022,66.8,27.0,73.7,Dumont Public School District,61.2,62.0,76.5,60.9,70.0,75.1,64.2,0.20395419847328244,48.2,18.3,53.5,48.3,75.0,57.5,56.0,57.2,39.1,44.1,24.8,*,0.059206948640483384,0.07552688172043011,12:1,147:1,212,13.4,13.1,84.0,321,12.7,5.0,33.0,29.0,15.0,18.0,12.9,5.3,40,199,180,188,175,199,187,154,212,208,190,183,191,196,2502
NJ-031230,2021-2022,50.1,16.7,56.6,East Rutherford School District,50.0,58.3,42.7,43.8,50.8,57.5,NA,0.16710648148148147,33.9,<10%,38.7,100.0,NA,35.5,45.8,30.3,34.4,30.8,11.4,NA,0.06758064516129032,0.08308781869688386,9:1,149:1,81,11.9,11.2,69.1,113,16.2,4.0,25.0,31.0,20.0,21.0,16.1,34.3,47,84,96,79,76,71,74,65,68,84,0,0,0,0,744
NJ-031270,2021-2022,60.1,13.9,66.1,Edgewater School District,55.7,54.6,53.4,70.7,NA,NA,NA,0.15451807228915662,49.8,<10%,55.4,NA,NA,62.2,52.0,34.2,45.7,NA,NA,NA,0.12688235294117647,0.12688235294117647,12:1,113:1,57,12.1,9.7,64.9,85,13.1,4.0,32.0,27.0,19.0,17.0,12.4,9.6,23,109,90,103,74,97,75,95,0,0,0,0,0,0,670
NJ-031345,2021-2022,44.6,13.3,52.2,Elmwood Park School District,53.1,43.9,50.0,40.2,41.4,42.9,*,NA,23.9,<10%,28.3,23.0,N,49.7,28.9,23.3,16.6,18.8,*,N,0.027668665667166414,0.03711827956989247,13:1,156:1,197,7.4,5.4,40.8,418,17.5,3.0,27.0,28.0,19.0,22.0,18.5,28.7,60,171,169,177,171,194,172,197,183,224,238,170,176,189,2491
NJ-031360,2021-2022,57.7,15.8,68.4,Emerson Public School District,48.9,62.7,59.6,56.5,55.6,52.0,76.1,0.10832129963898916,50.4,13.2,59.9,41.1,41.7,62.5,68.7,51.1,50.7,46.7,30.4,*,0.07791590493601462,0.09958128078817734,11:1,106:1,99,11.5,10.2,77.8,81,7.8,4.0,34.0,34.0,17.0,11.0,16.3,7.1,55,81,73,75,87,67,95,70,89,76,67,75,74,78,1062
NJ-031370,2021-2022,32.0,<10%,37.9,Englewood Public School District,32.4,18.8,36.3,19.1,20.8,33.5,48.9,0.053421874999999994,14.9,<10%,16.9,15.5,34.4,24.7,*,14.5,*,*,*,86.7,0.0066956521739130435,0.010744186046511629,12:1,147:1,251,11.1,10.7,71.7,519,19.1,4.0,30.0,27.0,17.0,22.0,15.2,61.2,280,185,172,184,156,161,193,190,170,196,289,252,266,240,2934
NJ-031380,2021-2022,93.7,66.7,98.1,Englewood Cliffs School District,92.9,84.0,97.8,97.6,97.6,95.6,NA,0.6028968253968254,83.0,38.9,90.3,91.1,NA,89.3,78.4,75.6,79.1,90.5,N,NA,0.3690944881889764,0.3775119617224881,8:1,67:1,48,13.5,12.7,78.7,6,1.6,1.0,63.0,27.0,7.0,2.0,16.1,0.0,21,34,38,58,28,50,45,42,42,46,0,0,0,0,404
NJ-031450,2021-2022,71.0,30.6,80.2,Fair Lawn Public School District,63.9,74.0,72.1,74.2,74.8,71.4,70.9,0.3083546491531282,61.5,26.3,69.3,65.6,84.6,76.5,70.8,57.1,58.2,54.8,29.3,80.6,0.12602805336982553,0.1567687074829932,12:1,187:1,447,12.8,11.0,76.1,353,6.6,4.0,34.0,34.0,18.0,10.0,19.3,10.0,93,367,369,398,430,428,432,442,419,429,405,392,386,393,5383
NJ-031470,2021-2022,16.1,<10%,18.5,Fairview Public School District,*,14.6,14.3,19.1,17.2,28.7,NA,NA,13.0,<10%,14.6,80.0,NA,12.6,10.6,*,16.8,13.3,*,NA,0.003052631578947369,0.00362953692115144,15:1,153:1,104,9.6,7.4,52.9,332,23.0,2.0,27.0,24.0,18.0,29.0,15.2,72.1,75,180,178,153,181,160,166,155,133,151,0,0,0,0,1532
NJ-031550,2021-2022,71.7,27.9,79.5,Fort Lee School District,65.4,79.8,75.5,74.1,70.3,66.4,71.8,0.285721977484092,58.7,20.3,65.4,48.2,37.4,71.0,72.1,65.5,64.6,52.8,*,91.3,0.15944896981312892,0.2066050650239562,12:1,176:1,334,11.3,10.5,74.0,414,10.4,10.0,36.0,25.0,14.0,15.0,14.3,8.0,70,313,349,329,310,300,281,309,308,330,287,279,278,309,4052
NJ-031580,2021-2022,67.8,32.0,75.2,Franklin Lakes School District,70.3,62.9,71.8,66.1,68.3,67.2,NA,0.1683849259757739,59.4,31.2,65.2,84.4,93.8,82.8,56.5,58.2,49.6,52.3,16.7,*,0.11908355795148248,0.1402013422818792,8:1,118:1,147,11.4,11.4,74.8,70,6.2,3.0,37.0,33.0,17.0,9.0,17.5,3.4,40,122,136,130,132,126,111,124,128,130,0,0,0,0,1179
NJ-031700,2021-2022,42.8,15.6,51.1,Garfield Public School District,43.6,58.0,56.6,27.4,33.1,38.3,42.5,0.09780057251908397,27.4,13.2,31.7,21.8,51.4,43.1,44.9,39.2,12.5,16.9,*,*,0.033162511542012926,0.0445684620376379,10:1,131:1,455,12.5,12.5,80.4,911,22.3,3.0,24.0,28.0,19.0,26.0,20.4,37.2,557,348,336,318,338,294,313,293,347,352,275,316,254,261,4602
NJ-031760,2021-2022,78.3,45.4,86.4,Glen Rock Public School District,69.3,79.9,87.3,67.6,89.8,85.3,64.6,0.2678215038650738,71.1,42.8,78.0,49.1,57.3,87.5,79.7,86.0,64.2,72.6,*,73.3,0.19443666899930023,0.24461687681862268,12:1,136:1,223,13.5,10.3,65.0,126,4.9,5.0,39.0,34.0,15.0,7.0,18.7,0.5,20,185,212,209,204,213,223,190,217,218,177,177,165,171,2581
NJ-031860,2021-2022,32.3,<10%,39.6,Hackensack School District,32.2,40.3,18.7,23.0,35.8,38.2,35.2,0.06434468937875752,19.1,<10%,22.8,17.8,32.8,32.1,28.6,11.4,*,15.0,*,72.7,0.012577689243027889,0.015927835051546393,13:1,188:1,422,12.5,12.5,79.3,1235,24.3,4.0,25.0,25.0,18.0,28.0,21.0,44.0,353,373,338,321,369,359,304,371,383,379,444,413,448,504,5359
NJ-032050,2021-2022,75.5,35.5,82.4,Harrington Park School District,73.5,85.3,67.2,66.3,87.0,74.3,NA,0.27560283687943266,67.1,36.1,72.5,100.0,NA,82.4,63.2,68.8,51.3,72.5,47.5,NA,0.20876190476190473,0.2254727793696275,11:1,125:1,57,15.0,13.1,91.2,46,7.3,5.0,43.0,30.0,11.0,10.0,11.0,0.0,15,71,62,58,69,68,64,79,68,73,0,0,0,0,627
NJ-032080,2021-2022,61.2,22.0,69.5,Hasbrouck Heights School District,62.7,66.9,71.0,51.5,71.8,54.4,55.0,0.17109649122807016,50.5,15.7,57.5,70.1,78.4,60.4,50.8,48.4,27.0,54.5,28.4,N,0.0802292576419214,0.08953632148377125,11:1,132:1,149,14.2,12.4,75.8,92,5.3,7.0,34.0,33.0,17.0,9.0,17.7,10.0,18,112,111,132,133,123,125,137,133,153,119,139,140,137,1712
NJ-032090,2021-2022,82.4,50.0,90.0,Haworth Public School District,72.5,82.4,84.8,93.0,84.2,78.4,NA,0.34847272727272727,65.8,40.4,71.8,100.0,*,77.5,78.4,69.7,58.1,56.6,18.5,NA,0.14925650557620818,0.1825,9:1,104:1,44,9.8,8.4,46.5,15,3.6,3.0,39.0,37.0,14.0,6.0,18.1,0.0,0,42,54,44,40,51,33,43,57,50,0,0,0,0,414
NJ-032180,2021-2022,73.4,36.7,83.7,Hillsdale School District,75.6,78.9,62.8,82.4,66.9,77.4,NA,0.26630252100840335,57.9,24.5,67.3,84.1,N,73.2,61.5,60.9,53.8,50.9,28.2,*,0.11745738636363635,0.13829896907216493,9:1,138:1,122,13.7,11.5,80.3,67,6.3,4.0,36.0,33.0,17.0,9.0,22.1,6.6,40,108,113,107,125,113,131,115,122,130,0,0,0,0,1104
NJ-032200,2021-2022,83.4,53.2,91.2,Ho-Ho-Kus School District,72.7,72.1,82.4,89.1,90.3,90.6,NA,0.3456476683937824,79.4,45.6,88.2,100.0,*,78.2,73.3,83.8,74.5,77.6,73.9,NA,0.2409375,0.18027027027027026,12:1,97:1,50,11.6,10.5,64.0,56,9.7,3.0,25.0,38.0,21.0,14.0,17.9,0.0,8,61,74,51,57,61,68,52,64,84,0,0,0,0,580
NJ-032620,2021-2022,61.6,18.7,68.9,Leonia Public School District,44.5,66.4,66.4,71.2,64.6,59.4,59.7,0.17708755760368666,50.9,18.2,56.5,37.9,59.3,67.9,58.1,68.3,63.1,43.2,27.4,76.0,0.09184115523465704,0.12955246913580248,12:1,132:1,181,12.4,11.1,71.1,117,5.7,8.0,39.0,28.0,15.0,9.0,13.9,12.4,59,95,109,114,113,129,121,112,195,210,220,205,212,214,2108
NJ-032710,2021-2022,48.2,13.7,54.5,Little Ferry Public School District,42.9,59.1,30.6,43.4,63.6,39.2,NA,0.10817444219066938,30.0,11.1,33.3,72.7,NA,44.3,29.5,23.8,22.6,30.3,*,NA,0.022269076305220882,0.024912718204488777,9:1,101:1,85,12.8,12.3,75.3,74,9.9,4.0,33.0,26.0,20.0,17.0,15.2,23.8,47,90,82,85,72,95,62,82,91,98,0,0,0,0,804
NJ-032740,2021-2022,70.4,33.5,76.9,Lodi School District,68.3,66.5,72.3,72.8,81.2,78.3,53.4,0.23177806619078523,37.9,15.2,41.9,23.1,66.7,56.5,38.6,36.6,33.1,43.6,25.5,N,0.05611977542108547,0.07424731182795699,13:1,107:1,235,12.6,12.6,78.2,372,12.4,7.0,25.0,29.0,25.0,15.0,10.0,42.5,109,216,209,207,229,205,204,246,220,242,225,238,214,226,2990
NJ-032860,2021-2022,51.8,17.4,59.2,Lyndhurst Public School District,41.3,62.1,54.7,44.8,57.5,47.2,55.6,0.10675187969924814,25.0,14.1,27.5,24.2,18.9,43.3,24.0,22.0,20.2,30.6,*,N,0.02142962962962963,0.03141150922909881,12:1,139:1,204,6.7,5.5,43.3,459,18.7,2.0,26.0,29.0,19.0,23.0,17.5,22.8,76,180,146,174,179,180,184,212,182,217,205,188,198,188,2509
NJ-032900,2021-2022,69.1,30.7,78.5,Mahwah Township Public School District,69.1,67.4,71.2,61.9,70.4,69.6,76.1,0.23218439716312056,54.5,23.9,61.9,64.2,78.5,73.4,59.3,59.0,42.3,43.9,20.9,*,0.11295664534470505,0.13605208333333332,10:1,107:1,280,14.5,12.0,76.4,251,9.4,3.0,29.0,33.0,20.0,15.0,18.3,7.1,83,194,185,205,193,178,218,195,206,245,210,233,196,242,2783
NJ-033060,2021-2022,69.7,17.8,79.3,Maywood School District,62.8,80.7,66.4,59.6,80.2,75.5,NA,0.2578509532062392,57.0,17.8,64.3,100.0,N,53.5,51.8,45.8,53.5,63.9,63.8,NA,0.0910344827586207,0.07772151898734178,11:1,187:1,83,11.4,10.3,73.5,75,8.4,6.0,34.0,30.0,18.0,12.0,18.3,6.5,35,101,113,96,89,87,107,99,97,109,0,0,0,0,933
